fraction,model_size,seed,k_shot,setting,acc,macro_f1,noise_acc,noise_macro_f1,cross_domain_acc,cross_domain_macro_f1
0,small,42,5,llrd_on_mix_on_aug2,40.1779359430605,0.3585972162057443,35.97864768683274,0.32267850060185,,
0,small,42,5,llrd_off_mix_on_aug2,37.544483985765126,0.3249394776791651,35.30249110320285,0.31554307832452444,,
0,small,42,5,llrd_on_mix_off_aug2,44.30604982206406,0.4054090858906598,40.106761565836294,0.3667763093686425,,
0,small,42,5,llrd_on_mix_on_aug0,40.85409252669039,0.36795662174025534,36.761565836298935,0.3265289834984558,,
0,small,123,5,llrd_on_mix_on_aug2,36.405693950177934,0.32497591477243465,34.48398576512455,0.3060685253923308,,
0,small,123,5,llrd_off_mix_on_aug2,37.61565836298932,0.3410598352756304,36.79715302491103,0.3256148269778678,,
0,small,123,5,llrd_on_mix_off_aug2,44.30604982206406,0.40727150899584114,41.95729537366548,0.3811915110013188,,
0,small,123,5,llrd_on_mix_on_aug0,39.395017793594306,0.36239647515364404,34.804270462633454,0.3113654141492856,,
0,small,456,5,llrd_on_mix_on_aug2,39.03914590747331,0.3511745118710675,35.444839857651246,0.32337941803280945,,
0,small,456,5,llrd_off_mix_on_aug2,39.14590747330961,0.3537763493289294,37.08185053380783,0.3357745141669284,,
0,small,456,5,llrd_on_mix_off_aug2,42.24199288256228,0.3820182591024581,40.213523131672595,0.3682256507971357,,
0,small,456,5,llrd_on_mix_on_aug0,41.67259786476868,0.37572261154682257,34.519572953736656,0.3037589191113286,,
0,small,789,5,llrd_on_mix_on_aug2,36.120996441281136,0.32319092837779456,34.555160142348754,0.30694698809286924,,
0,small,789,5,llrd_off_mix_on_aug2,38.505338078291814,0.3360750555299441,36.44128113879004,0.3182027493521426,,
0,small,789,5,llrd_on_mix_off_aug2,42.84697508896797,0.3886711494231341,42.02846975088968,0.38303586015026125,,
0,small,789,5,llrd_on_mix_on_aug0,38.79003558718861,0.34951357374815567,35.40925266903915,0.3127043318478741,,
0,small,999,5,llrd_on_mix_on_aug2,35.05338078291815,0.31212931083864537,35.12455516014235,0.3109328352794451,,
0,small,999,5,llrd_off_mix_on_aug2,37.829181494661924,0.33781295298820463,34.16370106761566,0.3028216021189049,,
0,small,999,5,llrd_on_mix_off_aug2,43.131672597864764,0.38811176426941413,42.313167259786475,0.38535531626280134,,
0,small,999,5,llrd_on_mix_on_aug0,38.43416370106761,0.3476570331223214,36.04982206405694,0.32545619480123306,,
0,base,42,5,llrd_on_mix_on_aug2,48.00711743772242,0.44293854997519644,42.811387900355875,0.39321734414573895,,
0,base,42,5,llrd_off_mix_on_aug2,51.35231316725979,0.47501428320084993,48.29181494661922,0.45033272648154204,,
0,base,42,5,llrd_on_mix_off_aug2,55.195729537366546,0.5126001878974357,50.0,0.4703096008955836,,
0,base,42,5,llrd_on_mix_on_aug0,50.1423487544484,0.4621760228654132,44.83985765124555,0.4138594514550549,,
0,base,123,5,llrd_on_mix_on_aug2,44.23487544483986,0.4009786154635936,44.056939501779354,0.4044356957961712,,
0,base,123,5,llrd_off_mix_on_aug2,49.7153024911032,0.46310424250357196,47.437722419928825,0.4480343913260329,,
0,base,123,5,llrd_on_mix_off_aug2,53.59430604982206,0.5041419595418752,49.21708185053381,0.4701569778545317,,
0,base,123,5,llrd_on_mix_on_aug0,49.395017793594306,0.4586726922852754,44.83985765124555,0.4104910980995459,,
0,base,456,5,llrd_on_mix_on_aug2,46.19217081850534,0.43287565502612835,44.661921708185055,0.41500433260574326,,
0,base,456,5,llrd_off_mix_on_aug2,50.99644128113879,0.477911183243226,47.295373665480426,0.43975646491238907,,
0,base,456,5,llrd_on_mix_off_aug2,53.55871886120996,0.505271155046706,48.64768683274021,0.45749849029386763,,
0,base,456,5,llrd_on_mix_on_aug0,48.68327402135231,0.4576217730229135,45.26690391459074,0.4204718237817556,,
0,base,789,5,llrd_on_mix_on_aug2,46.654804270462634,0.42876780127216063,45.195729537366546,0.4167126125469091,,
0,base,789,5,llrd_off_mix_on_aug2,53.131672597864764,0.49553002871962265,48.54092526690392,0.44751926779939905,,
0,base,789,5,llrd_on_mix_off_aug2,54.163701067615655,0.5102908541268659,50.49822064056939,0.4753620637146708,,
0,base,789,5,llrd_on_mix_on_aug0,49.11032028469751,0.44660406717084694,43.487544483985765,0.3978896439507437,,
0,base,999,5,llrd_on_mix_on_aug2,47.046263345195726,0.4318028132644829,44.73309608540925,0.41798621551669257,,
0,base,999,5,llrd_off_mix_on_aug2,50.88967971530249,0.474882240950703,47.50889679715303,0.44386043962374633,,
0,base,999,5,llrd_on_mix_off_aug2,55.12455516014235,0.5205076481113692,49.7864768683274,0.47047797502644706,,
0,base,999,5,llrd_on_mix_on_aug0,48.505338078291814,0.4494445929949369,46.44128113879004,0.43513518062684997,,
100,small,42,5,llrd_on_mix_on_aug2,18.327402135231317,0.1377284409991587,14.590747330960854,0.10190258285500536,,
100,small,42,5,llrd_off_mix_on_aug2,19.7864768683274,0.1493413202513088,15.373665480427047,0.11561358620668678,,
100,small,42,5,llrd_on_mix_off_aug2,25.26690391459075,0.20288481893001725,16.227758007117437,0.12332069795717258,,
