fraction,model_size,setting,acc,macro_f1,noise_acc,noise_macro_f1,cross_domain_acc,cross_domain_macro_f1
0,base,llrd_off_mix_on_aug2,51.2171 ± 1.2344,0.4773 ± 0.0117,47.8149 ± 0.5613,0.4459 ± 0.0041,N/A,N/A
0,base,llrd_on_mix_off_aug2,54.3274 ± 0.7976,0.5106 ± 0.0066,49.6299 ± 0.7160,0.4688 ± 0.0067,N/A,N/A
0,base,llrd_on_mix_on_aug0,49.1673 ± 0.6477,0.4549 ± 0.0066,44.9751 ± 1.0588,0.4156 ± 0.0137,N/A,N/A
0,base,llrd_on_mix_on_aug2,46.4270 ± 1.3958,0.4275 ± 0.0157,44.2918 ± 0.9214,0.4095 ± 0.0105,N/A,N/A
0,small,llrd_off_mix_on_aug2,38.1281 ± 0.6839,0.3387 ± 0.0104,35.9573 ± 1.2093,0.3196 ± 0.0122,N/A,N/A
0,small,llrd_on_mix_off_aug2,43.3665 ± 0.9158,0.3943 ± 0.0113,41.3238 ± 1.0713,0.3769 ± 0.0087,N/A,N/A
0,small,llrd_on_mix_on_aug0,39.8292 ± 1.3841,0.3606 ± 0.0120,35.5089 ± 0.9147,0.3160 ± 0.0098,N/A,N/A
0,small,llrd_on_mix_on_aug2,37.3594 ± 2.1521,0.3340 ± 0.0199,35.1174 ± 0.6258,0.3140 ± 0.0084,N/A,N/A
100,base,llrd_off_mix_on_aug2,26.7544 ± 0.9783,0.2223 ± 0.0069,23.7865 ± 0.9158,0.1970 ± 0.0081,N/A,N/A
100,base,llrd_on_mix_off_aug2,33.2954 ± 0.9009,0.2921 ± 0.0084,25.8719 ± 0.5587,0.2226 ± 0.0073,N/A,N/A
100,base,llrd_on_mix_on_aug0,28.6406 ± 1.0871,0.2417 ± 0.0099,22.5409 ± 0.7116,0.1867 ± 0.0071,N/A,N/A
100,base,llrd_on_mix_on_aug2,25.4306 ± 0.9617,0.2088 ± 0.0089,19.6655 ± 1.2671,0.1575 ± 0.0109,N/A,N/A
100,small,llrd_off_mix_on_aug2,20.5623 ± 0.9867,0.1580 ± 0.0097,16.6548 ± 1.1540,0.1264 ± 0.0083,N/A,N/A
100,small,llrd_on_mix_off_aug2,26.8185 ± 1.2719,0.2182 ± 0.0119,16.8683 ± 0.4337,0.1281 ± 0.0034,N/A,N/A
100,small,llrd_on_mix_on_aug0,22.5694 ± 0.8848,0.1790 ± 0.0049,15.9217 ± 0.6816,0.1226 ± 0.0068,N/A,N/A
100,small,llrd_on_mix_on_aug2,20.0356 ± 1.1864,0.1521 ± 0.0116,15.2028 ± 0.3820,0.1125 ± 0.0070,N/A,N/A
