fraction,model_size,k_shot,proto_acc,proto_top3,proto_top5,proto_macro_f1,knn_acc,knn_macro_f1,lp_acc,lp_top3,lp_top5,lp_macro_f1,ft_acc,ft_top3,ft_top5,ft_macro_f1
0,base,1,33.0503 ± 0.5938,45.8160 ± 1.1300,52.1301 ± 1.0642,0.3224 ± 0.0065,33.0503 ± 0.5938,0.3224 ± 0.0065,33.8231 ± 1.1731,47.9105 ± 0.6615,54.7128 ± 0.5631,0.3228 ± 0.0122,19.0442 ± 0.8107,30.9964 ± 0.7397,37.5597 ± 0.7959,0.1705 ± 0.0127
0,base,3,50.7770 ± 0.8431,66.0202 ± 0.7850,72.1293 ± 0.7211,0.4939 ± 0.0082,50.6346 ± 0.6462,0.4972 ± 0.0064,46.6607 ± 0.4466,62.8944 ± 0.6751,70.1957 ± 0.6701,0.4377 ± 0.0020,40.2195 ± 1.9419,58.7544 ± 1.3660,65.5694 ± 0.9782,0.3699 ± 0.0185
0,base,5,58.6335 ± 0.7200,73.3238 ± 0.8654,79.1459 ± 0.8258,0.5730 ± 0.0081,59.9075 ± 0.4363,0.5889 ± 0.0037,52.6762 ± 0.9349,69.6797 ± 0.6859,75.8932 ± 0.7709,0.4908 ± 0.0091,52.1637 ± 0.4490,70.3772 ± 0.7075,77.3381 ± 0.6754,0.4888 ± 0.0072
0,base,10,64.3701 ± 0.7823,79.6868 ± 0.4817,85.3238 ± 0.9023,0.6291 ± 0.0099,73.1103 ± 0.8322,0.7189 ± 0.0103,58.3630 ± 0.9253,75.6584 ± 0.4905,82.0925 ± 0.6535,0.5400 ± 0.0105,67.0890 ± 0.2874,82.8043 ± 1.0073,87.3879 ± 0.8352,0.6440 ± 0.0029
0,small,1,33.6604 ± 0.7020,47.3462 ± 0.6827,53.7062 ± 0.7711,0.3266 ± 0.0065,33.6604 ± 0.7020,0.3266 ± 0.0065,33.9858 ± 0.5572,48.3986 ± 0.4454,55.1093 ± 0.7297,0.3237 ± 0.0060,12.7351 ± 0.1546,23.6096 ± 0.3192,29.7407 ± 0.4261,0.1105 ± 0.0039
0,small,3,51.4887 ± 0.7934,67.0047 ± 0.3494,72.8707 ± 0.3948,0.5007 ± 0.0071,51.2871 ± 0.8358,0.5027 ± 0.0110,46.5658 ± 0.6075,63.3986 ± 0.5100,70.0534 ± 0.9134,0.4358 ± 0.0071,29.6323 ± 1.5708,47.5326 ± 1.6409,56.6726 ± 1.5315,0.2647 ± 0.0182
0,small,5,58.2420 ± 0.8203,73.4306 ± 0.6379,79.0747 ± 0.4873,0.5682 ± 0.0079,60.6975 ± 0.8845,0.5957 ± 0.0079,52.6619 ± 0.4997,69.5587 ± 0.4215,75.7651 ± 0.6326,0.4916 ± 0.0037,40.7046 ± 1.3975,59.4875 ± 1.1653,68.1637 ± 0.4644,0.3668 ± 0.0155
0,small,10,63.5302 ± 0.8784,79.5160 ± 0.7819,84.9680 ± 0.9634,0.6207 ± 0.0095,74.4911 ± 0.9972,0.7317 ± 0.0108,59.4875 ± 2.0240,76.5552 ± 1.3696,82.4057 ± 1.0171,0.5535 ± 0.0213,53.5801 ± 0.9120,71.7580 ± 0.8867,78.4626 ± 0.7935,0.4882 ± 0.0101
0,smallplus,1,33.5079 ± 0.4092,46.9090 ± 0.2161,53.8027 ± 0.5892,0.3238 ± 0.0079,33.5079 ± 0.4092,0.3238 ± 0.0079,33.6909 ± 0.9189,48.3833 ± 1.1812,55.1906 ± 0.3483,0.3196 ± 0.0095,12.9537 ± 0.5680,23.1368 ± 0.5509,29.3035 ± 1.1560,0.1137 ± 0.0055
0,smallplus,3,50.8185 ± 0.5295,66.3167 ± 0.5640,72.6038 ± 0.3659,0.4940 ± 0.0042,51.0973 ± 0.5998,0.5001 ± 0.0063,46.5362 ± 0.4335,63.2800 ± 0.9259,69.9110 ± 0.5237,0.4347 ± 0.0050,30.7829 ± 0.7024,48.6180 ± 1.1066,56.9810 ± 1.1329,0.2759 ± 0.0058
0,smallplus,5,58.4270 ± 0.8895,73.7224 ± 0.5758,79.2384 ± 0.8310,0.5727 ± 0.0102,60.8897 ± 0.5542,0.5969 ± 0.0062,52.2562 ± 0.4326,69.9929 ± 0.2214,76.3274 ± 0.5323,0.4862 ± 0.0044,42.9893 ± 1.1540,61.6014 ± 0.6102,69.7153 ± 0.6411,0.3902 ± 0.0110
0,smallplus,10,64.0569 ± 1.1963,79.6868 ± 1.3641,84.4413 ± 1.4347,0.6254 ± 0.0139,74.0071 ± 0.0780,0.7262 ± 0.0031,59.8007 ± 1.0834,76.3986 ± 1.2618,82.5623 ± 0.4748,0.5574 ± 0.0100,56.4840 ± 0.9343,74.6904 ± 0.7839,80.8683 ± 0.9474,0.5194 ± 0.0103
100,base,1,24.6721 ± 0.2676,35.8973 ± 0.7831,41.3269 ± 0.5973,0.2359 ± 0.0041,24.6721 ± 0.2676,0.2359 ± 0.0041,24.6162 ± 0.3356,35.8719 ± 0.6722,41.3726 ± 0.5892,0.2353 ± 0.0047,9.4509 ± 0.5889,18.4596 ± 1.1582,23.8638 ± 1.3474,0.0799 ± 0.0039
100,base,3,39.8695 ± 0.6957,53.0368 ± 0.8821,58.6655 ± 1.0334,0.3772 ± 0.0060,41.3582 ± 0.9417,0.4003 ± 0.0087,37.1471 ± 0.3593,51.0024 ± 0.5907,57.6275 ± 0.8228,0.3438 ± 0.0035,20.8956 ± 0.5833,37.0166 ± 1.0016,45.4211 ± 0.9913,0.1682 ± 0.0063
100,base,5,46.4555 ± 1.1637,60.9039 ± 0.8874,66.8114 ± 0.8272,0.4399 ± 0.0107,51.3025 ± 0.7864,0.4973 ± 0.0076,43.2384 ± 0.8123,58.2989 ± 0.7663,65.1246 ± 0.5089,0.3923 ± 0.0082,28.4769 ± 0.7589,45.3879 ± 0.8195,54.3416 ± 1.0113,0.2407 ± 0.0084
100,base,10,53.6940 ± 1.3980,68.6121 ± 0.9901,74.9609 ± 0.7317,0.5027 ± 0.0125,65.8648 ± 0.6094,0.6400 ± 0.0052,51.8434 ± 1.6529,67.1886 ± 0.6039,73.7651 ± 0.9343,0.4625 ± 0.0151,37.9359 ± 0.9707,57.3096 ± 1.3108,65.7224 ± 0.7458,0.3317 ± 0.0125
100,small,1,24.0569 ± 0.3862,34.8704 ± 0.9122,40.3813 ± 0.4737,0.2269 ± 0.0051,24.0569 ± 0.3862,0.2269 ± 0.0051,24.2450 ± 0.5564,34.8043 ± 0.8583,40.4423 ± 0.4846,0.2286 ± 0.0064,6.6548 ± 0.5699,13.7570 ± 0.5186,18.0122 ± 0.7961,0.0519 ± 0.0048
100,small,3,38.8078 ± 0.4357,52.2539 ± 0.5259,58.9265 ± 0.2943,0.3675 ± 0.0046,39.4365 ± 0.3204,0.3777 ± 0.0042,36.3108 ± 0.5598,50.8185 ± 0.2903,57.4911 ± 0.4192,0.3360 ± 0.0068,16.5836 ± 0.2546,30.5101 ± 0.5510,38.7070 ± 0.8074,0.1288 ± 0.0042
100,small,5,45.3950 ± 0.4007,60.6121 ± 0.3518,67.1601 ± 0.3106,0.4298 ± 0.0045,49.3238 ± 0.7367,0.4745 ± 0.0084,42.3203 ± 0.6674,58.4199 ± 0.7348,65.0178 ± 0.2802,0.3851 ± 0.0065,22.3559 ± 1.4498,38.9537 ± 1.5656,47.9573 ± 1.0298,0.1731 ± 0.0141
100,small,10,52.7544 ± 1.0158,67.8719 ± 0.4895,73.6655 ± 0.5467,0.4964 ± 0.0096,64.2562 ± 0.4312,0.6215 ± 0.0045,51.0036 ± 0.9997,66.6904 ± 0.9362,72.2562 ± 0.5476,0.4577 ± 0.0106,30.5480 ± 0.6294,49.3950 ± 0.8005,58.2491 ± 0.5340,0.2442 ± 0.0059
100,smallplus,1,24.7636 ± 0.6073,36.3701 ± 0.8009,42.8673 ± 0.9710,0.2364 ± 0.0070,24.7636 ± 0.6073,0.2364 ± 0.0070,24.8297 ± 0.6115,36.3142 ± 1.1455,42.7860 ± 1.0373,0.2366 ± 0.0088,7.3615 ± 0.8912,13.9959 ± 0.7999,18.3986 ± 0.9517,0.0600 ± 0.0076
100,smallplus,3,40.0712 ± 0.4816,54.2527 ± 0.7368,60.7295 ± 0.6509,0.3797 ± 0.0033,41.4828 ± 0.5315,0.4030 ± 0.0046,37.8173 ± 0.6327,52.8648 ± 0.5664,59.8221 ± 0.9866,0.3504 ± 0.0057,18.7900 ± 1.0106,34.0510 ± 1.7256,42.5860 ± 1.7461,0.1509 ± 0.0107
100,smallplus,5,45.5018 ± 1.2442,61.7651 ± 0.9438,68.5480 ± 0.6754,0.4318 ± 0.0113,51.3808 ± 0.5839,0.4991 ± 0.0065,42.6121 ± 0.6463,59.8932 ± 0.6969,67.1246 ± 0.4426,0.3893 ± 0.0075,25.3167 ± 1.0230,42.7046 ± 0.5108,51.3452 ± 0.6432,0.2059 ± 0.0091
100,smallplus,10,52.5552 ± 1.3023,69.9075 ± 0.9162,75.9715 ± 0.6554,0.4931 ± 0.0150,65.6370 ± 0.9009,0.6381 ± 0.0071,52.0427 ± 1.7247,69.3238 ± 1.1684,75.3594 ± 0.7053,0.4718 ± 0.0190,33.5374 ± 1.2218,53.3950 ± 0.6414,62.6192 ± 1.1145,0.2747 ± 0.0110
