fraction,model_size,k_shot,proto_acc,proto_top3,proto_top5,proto_macro_f1,knn_acc,knn_macro_f1,lp_acc,lp_top3,lp_top5,lp_macro_f1,ft_acc,ft_top3,ft_top5,ft_macro_f1
100,base,1,24.5501 ± 0.5750,36.5531 ± 0.7769,42.0437 ± 0.9587,0.2349 ± 0.0056,24.5501 ± 0.5750,0.2349 ± 0.0056,24.6416 ± 0.5843,36.5633 ± 0.6487,42.2928 ± 0.8602,0.2354 ± 0.0061,8.8409 ± 0.4713,17.3310 ± 0.9153,22.4301 ± 1.3277,0.0761 ± 0.0043
100,base,3,40.1305 ± 0.3986,54.3713 ± 0.4357,60.4686 ± 0.5046,0.3780 ± 0.0028,40.8007 ± 0.6735,0.3949 ± 0.0062,38.3333 ± 0.3266,52.5979 ± 0.6431,59.4781 ± 0.5295,0.3568 ± 0.0025,22.2064 ± 0.4366,37.9004 ± 0.5588,46.3879 ± 0.4079,0.1866 ± 0.0051
100,base,5,47.7580 ± 0.5971,62.6406 ± 0.6125,68.7473 ± 0.6073,0.4523 ± 0.0048,50.5836 ± 0.8646,0.4914 ± 0.0099,45.4733 ± 0.3693,60.6904 ± 0.4916,67.2811 ± 0.6198,0.4187 ± 0.0032,29.5943 ± 0.6574,47.1388 ± 0.6011,55.6655 ± 0.8225,0.2540 ± 0.0050
100,base,10,56.7117 ± 1.2280,72.0854 ± 0.5591,77.2954 ± 0.6246,0.5363 ± 0.0109,65.0391 ± 0.6703,0.6304 ± 0.0055,54.8897 ± 1.3147,70.2491 ± 1.0166,75.8292 ± 0.7919,0.4996 ± 0.0113,39.8292 ± 1.4816,59.2883 ± 0.5672,67.4448 ± 0.9649,0.3529 ± 0.0128
100,small,1,22.7402 ± 0.5217,33.7163 ± 0.8244,39.3188 ± 0.7414,0.2163 ± 0.0058,22.7402 ± 0.5217,0.2163 ± 0.0058,22.7402 ± 0.4822,33.8943 ± 0.7238,39.2832 ± 0.7745,0.2157 ± 0.0052,6.2328 ± 0.4061,13.3198 ± 0.5323,17.6919 ± 0.4295,0.0492 ± 0.0043
100,small,3,37.1056 ± 0.5817,50.8837 ± 0.8846,56.8802 ± 0.2951,0.3485 ± 0.0052,38.4401 ± 0.7878,0.3701 ± 0.0068,35.5042 ± 0.5836,49.2289 ± 0.6971,55.8244 ± 0.4432,0.3283 ± 0.0048,16.6785 ± 0.4578,31.3167 ± 0.9598,39.1578 ± 1.0972,0.1312 ± 0.0035
100,small,5,44.1993 ± 0.8335,58.9181 ± 1.1205,65.4164 ± 0.6161,0.4167 ± 0.0084,48.4199 ± 0.7365,0.4681 ± 0.0056,41.4021 ± 0.6512,56.8612 ± 0.8340,63.7438 ± 0.4650,0.3757 ± 0.0072,22.9395 ± 0.4630,39.6726 ± 0.2200,48.7687 ± 0.4290,0.1831 ± 0.0056
100,small,10,51.1459 ± 0.6966,67.5160 ± 1.0272,73.9929 ± 1.0048,0.4807 ± 0.0066,63.0178 ± 0.4347,0.6088 ± 0.0051,50.3915 ± 1.3495,66.3772 ± 0.4946,72.3274 ± 0.8011,0.4535 ± 0.0122,30.9039 ± 0.7916,48.6690 ± 0.9673,58.4911 ± 0.8230,0.2494 ± 0.0061
100,smallplus,1,24.0874 ± 0.3669,35.7143 ± 0.6304,41.3218 ± 0.7240,0.2312 ± 0.0023,24.0874 ± 0.3669,0.2312 ± 0.0023,24.1078 ± 0.2946,35.6329 ± 0.6731,41.3167 ± 0.7959,0.2311 ± 0.0024,7.5038 ± 0.6824,14.2959 ± 1.0078,18.3223 ± 1.2804,0.0609 ± 0.0045
100,smallplus,3,39.3772 ± 0.2213,53.9324 ± 0.5109,60.0474 ± 0.5526,0.3737 ± 0.0040,40.0415 ± 0.4742,0.3872 ± 0.0056,37.0581 ± 0.5418,52.4140 ± 0.3893,59.1103 ± 0.3217,0.3463 ± 0.0047,18.7544 ± 0.6890,34.1578 ± 0.9562,42.0166 ± 0.6682,0.1497 ± 0.0063
100,smallplus,5,46.1779 ± 0.5436,62.0142 ± 0.5074,68.0285 ± 0.5049,0.4356 ± 0.0045,49.5943 ± 0.2099,0.4818 ± 0.0042,43.1673 ± 0.8692,60.0569 ± 0.4078,66.7687 ± 0.2928,0.3940 ± 0.0080,24.6406 ± 0.8899,42.4769 ± 0.9145,51.4235 ± 1.1835,0.1988 ± 0.0072
100,smallplus,10,52.4270 ± 1.0480,69.7367 ± 1.0645,75.6584 ± 0.5033,0.4940 ± 0.0095,64.0285 ± 0.8784,0.6215 ± 0.0115,51.0890 ± 1.0108,68.3843 ± 1.3555,74.6335 ± 0.8638,0.4607 ± 0.0098,33.4093 ± 0.5098,52.9680 ± 1.1580,62.3488 ± 0.8875,0.2769 ± 0.0056
