tag,res,feat,clf,k_shot,seed,acc,macro_f1
official,224,cls,proto,1,42,32.99440772750381,0.31650868391322845
official,224,cls,proto,1,123,33.42653787493645,0.32813248941028506
official,224,cls,proto,1,456,33.68073207930859,0.32868160199415203
official,224,cls,proto,1,789,34.82460599898322,0.33420189644302023
official,224,cls,proto,1,999,33.3248601931876,0.325092926749143
official,224,cls,knn,1,42,32.99440772750381,0.31650868391322845
official,224,cls,knn,1,123,33.42653787493645,0.32813248941028506
official,224,cls,knn,1,456,33.68073207930859,0.32868160199415203
official,224,cls,knn,1,789,34.82460599898322,0.33420189644302023
official,224,cls,knn,1,999,33.3248601931876,0.325092926749143
official,224,cls,lp,1,42,33.57905439755974,0.31926125258418203
official,224,cls,lp,1,123,33.29944077275038,0.32111894009087627
official,224,cls,lp,1,456,34.74834773767158,0.3329537974443875
official,224,cls,lp,1,789,34.0620233858668,0.3188840081034837
official,224,cls,lp,1,999,34.21453990849009,0.3261534280044952
official,224,cls,labelprop,1,42,24.02135231316726,0.21249481127076664
official,224,cls,labelprop,1,123,25.77529232333503,0.23302035214469494
official,224,cls,labelprop,1,456,24.91103202846975,0.21659003792292392
official,224,cls,labelprop,1,789,26.080325368581597,0.22291874207441495
official,224,cls,labelprop,1,999,25.800711743772244,0.23330549695394265
official,224,cls,ptmap,1,42,36.45144890696492,0.35471205923054927
official,224,cls,ptmap,1,123,35.35841382816472,0.3465147014409223
official,224,cls,ptmap,1,456,37.23945094051855,0.3634849307642101
official,224,cls,ptmap,1,789,36.654804270462634,0.35527842420304784
official,224,cls,ptmap,1,999,35.12963904422979,0.343899399555971
official,224,cls,proto,3,42,52.22419928825622,0.5049346818835178
official,224,cls,proto,3,123,52.283511269276396,0.5095137368285529
official,224,cls,proto,3,456,50.444839857651246,0.4909318932237593
official,224,cls,proto,3,789,51.393831553973904,0.49874976416578676
official,224,cls,proto,3,999,51.0379596678529,0.49897753411216283
official,224,cls,knn,3,42,51.98695136417556,0.5112701471673347
official,224,cls,knn,3,123,51.98695136417556,0.5099188908023706
official,224,cls,knn,3,456,51.27520759193357,0.5046238955858066
official,224,cls,knn,3,789,51.245551601423486,0.5034777750619398
official,224,cls,knn,3,999,49.940688018979834,0.48387497616291975
official,224,cls,lp,3,42,46.886120996441285,0.44019979953471905
official,224,cls,lp,3,123,46.35231316725979,0.42948893363849483
official,224,cls,lp,3,456,46.17437722419929,0.4313118785421232
official,224,cls,lp,3,789,47.47924080664294,0.44645656353982055
official,224,cls,lp,3,999,45.96678529062871,0.43191435310637477
official,224,cls,labelprop,3,42,29.062870699881376,0.239828136315125
official,224,cls,labelprop,3,123,27.787663107947807,0.2324639193483646
official,224,cls,labelprop,3,456,29.952550415183865,0.25666434628555185
official,224,cls,labelprop,3,789,30.39739027283511,0.25800459127122166
official,224,cls,labelprop,3,999,29.86358244365362,0.2552450421889895
official,224,cls,ptmap,3,42,53.91459074733096,0.5224977871459925
official,224,cls,ptmap,3,123,54.59667852906287,0.5293335930302345
official,224,cls,ptmap,3,456,53.26215895610913,0.5172129808267111
official,224,cls,ptmap,3,789,52.164887307236064,0.5065294051756861
official,224,cls,ptmap,3,999,52.461447212336886,0.5112288626774577
official,224,cls,proto,5,42,59.1103202846975,0.5740734718792018
official,224,cls,proto,5,123,58.362989323843415,0.5704878225183814
official,224,cls,proto,5,456,58.00711743772242,0.5670207925794151
