tag,res,feat,clf,k_shot,seed,acc,macro_f1
vitb16-official,224,cls,proto,1,42,33.12150482968988,0.32086820880263944
vitb16-official,224,cls,proto,1,123,32.20640569395018,0.31662538878612756
vitb16-official,224,cls,proto,1,456,32.91814946619217,0.31863448426709345
vitb16-official,224,cls,proto,1,789,33.19776309100153,0.3228307527019328
vitb16-official,224,cls,proto,1,999,33.83324860193188,0.33313467296733296
vitb16-official,224,cls,knn,1,42,33.12150482968988,0.32086820880263944
vitb16-official,224,cls,knn,1,123,32.20640569395018,0.31662538878612756
vitb16-official,224,cls,knn,1,456,32.91814946619217,0.31863448426709345
vitb16-official,224,cls,knn,1,789,33.19776309100153,0.3228307527019328
vitb16-official,224,cls,knn,1,999,33.83324860193188,0.33313467296733296
vitb16-official,224,cls,lp,1,42,32.20640569395018,0.30798537119478037
vitb16-official,224,cls,lp,1,123,33.502796136248094,0.32274723214606765
vitb16-official,224,cls,lp,1,456,35.15505846466701,0.3350579270103274
vitb16-official,224,cls,lp,1,789,33.57905439755974,0.3140329630222754
vitb16-official,224,cls,lp,1,999,34.67208947635994,0.33404909184893383
vitb16-official,224,cls,labelprop,1,42,22.394509405185563,0.1943245707758616
vitb16-official,224,cls,labelprop,1,123,26.05490594814438,0.2307918678189584
vitb16-official,224,cls,labelprop,1,456,24.07219115404169,0.21838539576201366
vitb16-official,224,cls,labelprop,1,789,23.792577529232332,0.20517778199248066
vitb16-official,224,cls,labelprop,1,999,25.063548551093035,0.2267490819752147
vitb16-official,224,cls,ptmap,1,42,35.460091509913575,0.34648530415696677
vitb16-official,224,cls,ptmap,1,123,34.92628368073208,0.3471297768735357
vitb16-official,224,cls,ptmap,1,456,36.98525673614642,0.35943283006941
vitb16-official,224,cls,ptmap,1,789,36.37519064565328,0.35181662617520015
vitb16-official,224,cls,ptmap,1,999,36.70564311133706,0.3636287820763379
vitb16-official,224,cls,proto,3,42,52.10557532621589,0.5067122442790446
vitb16-official,224,cls,proto,3,123,50.65243179122183,0.4931178787236779
vitb16-official,224,cls,proto,3,456,49.76275207591934,0.4841437115270626
vitb16-official,224,cls,proto,3,789,50.59311981020166,0.4913717761684799
vitb16-official,224,cls,proto,3,999,50.77105575326216,0.4943673996455428
vitb16-official,224,cls,knn,3,42,51.779359430604984,0.5082760614922016
vitb16-official,224,cls,knn,3,123,50.296559905100835,0.4929824171724554
vitb16-official,224,cls,knn,3,456,50.474495848161325,0.49720386411121364
vitb16-official,224,cls,knn,3,789,50.38552787663107,0.4942265860432982
