tag,res,feat,clf,k_shot,acc_mean,acc_std,f1_mean,f1_std
tv-resnet18,224,cls,proto,1,26.908998474834778,0.30693358104979246,0.2609977854639259,0.003532424292160894
tv-resnet18,224,cls,knn,1,26.908998474834778,0.30693358104979246,0.2609977854639259,0.003532424292160894
tv-resnet18,224,cls,lp,1,25.627859684799187,0.8055189336647408,0.24444606355834542,0.008142473367338239
tv-resnet18,224,cls,labelprop,1,21.316725978647685,1.2770065134803716,0.19527050830989853,0.0107072154241712
tv-resnet18,224,cls,ptmap,1,27.793594306049823,0.9383864041608129,0.26850812895363096,0.0077902984514464455
tv-resnet18,224,cls,proto,3,41.98102016607355,1.012785726008389,0.40707394335601793,0.009865993519178091
tv-resnet18,224,cls,knn,3,43.208778173190986,1.422560492907644,0.4228289419513048,0.01147551804338892
tv-resnet18,224,cls,lp,3,36.043890865954914,0.6731975167036942,0.33305142321556896,0.0057786499066780185
tv-resnet18,224,cls,labelprop,3,25.08896797153025,0.4962396361412069,0.21186241139460743,0.004859747893337801
tv-resnet18,224,cls,ptmap,3,41.358244365361806,1.0584322309048702,0.38664525505290864,0.008781063614402848
tv-resnet18,224,cls,proto,5,48.619217081850536,1.0324578809673943,0.47362988786198085,0.01013655992406167
tv-resnet18,224,cls,knn,5,53.62277580071175,1.0955422234048666,0.5250575415492732,0.008258247839851518
tv-resnet18,224,cls,lp,5,40.455516014234874,0.716797008146063,0.3681789418625495,0.007137563512513729
tv-resnet18,224,cls,labelprop,5,27.594306049822062,1.3030938068436502,0.2325371644245145,0.012318824931939386
tv-resnet18,224,cls,ptmap,5,46.84697508896797,0.6349097544309563,0.43696876620268216,0.006799119623804665
tv-resnet18,224,cls,proto,10,54.0355871886121,0.9867346235230403,0.523358173295746,0.010560220050988127
tv-resnet18,224,cls,knn,10,67.72953736654804,0.5340450244072286,0.6603633414477039,0.006332678649813219
tv-resnet18,224,cls,lp,10,46.61921708185053,1.8069042384037168,0.41585783464986487,0.01763961717009813
tv-resnet18,224,cls,labelprop,10,28.483985765124554,1.1601641811800705,0.23163923030555966,0.012474939067472853
tv-resnet18,224,cls,ptmap,10,51.11743772241992,1.7831987050271965,0.4657944496733058,0.019126702209249183
tv-resnet18,224_fliptta,cls,proto,1,28.103711235383834,0.3823912282896146,0.27352010025594337,0.005149990168001574
tv-resnet18,224_fliptta,cls,knn,1,28.103711235383834,0.3823912282896146,0.27352010025594337,0.005149990168001574
tv-resnet18,224_fliptta,cls,lp,1,26.7819013726487,0.8143344520305671,0.25703622530261805,0.007952769803726712
tv-resnet18,224_fliptta,cls,labelprop,1,21.550584646670057,0.6548646585371592,0.19420328129695724,0.005882986930901897
tv-resnet18,224_fliptta,cls,ptmap,1,28.790035587188612,0.8073617704567491,0.2775546180649166,0.006702912597110766
tv-resnet18,224_fliptta,cls,proto,3,43.06642941874259,0.9719748062067728,0.4174814207467475,0.008352381098797962
tv-resnet18,224_fliptta,cls,knn,3,44.893238434163706,0.8232943093174347,0.4392855784289626,0.008470282899267066
tv-resnet18,224_fliptta,cls,lp,3,36.20996441281139,0.4388685820566073,0.3340672600510905,0.0021242266638692177
tv-resnet18,224_fliptta,cls,labelprop,3,25.830367734282326,0.2813414288406051,0.21537961110397838,0.004826753221128813
